Cultivos y cubiertas de suelo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1219 GUADALAJARA,61805.4131,67624.4516,55410.9388,48775.3925,50339.8838,46126.5864,63987.225600000005,75148.77380000001,75634.8774,76485.3144,71005.8035,66001.4513,70081.4884,69245.5193,59624.6454,70137.59539999999,57849.644700000004,73470.3989,70771.74190000001,73588.6488,64903.2936
1245 TOLEDO,29694.8602,32213.917299999997,31876.135499999997,28247.4584,29489.9974,38736.0793,39853.0968,48652.2936,59127.7044,68515.76120000001,71923.7429,61825.151099999995,53099.660599999996,39461.551400000004,38360.0695,51523.6365,38445.7132,51713.4658,53470.375499999995,38252.691699999996,37207.9057
1303 ALICANTE,1865.9651999999999,1930.1403,2372.72,982.8932,1116.7466,1434.9532,520.5233,619.9308,1465.2858,1482.313,854.5088000000001,1111.1042,1022.8233,232.6054,409.827,401.4588,1411.4174,1339.9915999999998,457.1738,409.9024,49.217
1312 CASTELLON,242.9949,598.8074,135.96,403.3328,208.6588,166.0013,292.2004,226.9238,285.7975,248.7047,244.5964,216.3135,100.0236,97.0906,98.8104,334.2499,307.3793,208.2343,244.4218,66.8121,192.6021
1346 VALENCIA,2170.3081,1990.0621,2524.64,1526.2616,2506.1039,1432.2328,1133.0437,1136.6401,1819.6078,2449.7898,1015.0366,1468.6564,704.5561,1366.6323,2194.9375,2049.2899,2370.3343,3068.877,2350.8916000000004,5902.2036,1644.1708
"1430 R,DE MURCIA",7067.6525,5535.2745,5684.9612,2584.1445000000003,3428.8777999999998,4612.8822,5595.5647,4910.4445,5298.7519,6843.7607,3055.9116999999997,6485.1684000000005,6062.2709,8924.4953,4411.9643,5571.3048,7951.3296,7377.5943,4886.833500000001,2030.8659,1672.6362
1506 BADAJOZ,32477.1493,42919.943100000004,52009.9298,41938.7053,65568.2197,59547.2333,59004.8138,62338.5575,82635.8694,48969.7863,60864.6547,50889.4597,53863.3201,45794.552299999996,61164.7418,41771.194200000005,68699.3924,72019.03099999999,94083.8971,85457.092,81714.96960000001
1510 CACERES,2304.4684,633.3538,388.7019,2480.9837,8206.1185,5765.5829,4358.4972,4848.9045,5851.1176000000005,1589.7783,6100.5154,3549.3086,4329.9147,3842.6756,9013.8315,4583.8166,2464.2701,1175.3516000000002,4841.0207,4855.0183,3353.6090000000004
1604 ALMERIA,317.6858,61.7322,,,,,62.5426,542.7226,324.0304,1363.7288,1155.1523,757.1016,3709.3444,1604.3223,4271.5492,3674.6232,4996.9985,1841.4167,1358.9923,1257.8146,386.7905
1611 CADIZ,7097.1417,7769.5987000000005,16739.5348,24890.8368,20817.8226,10338.9508,8790.806999999999,12062.72,17155.3795,20260.192199999998,25898.2189,21512.8844,14902.7544,9873.5592,7195.8435,19888.9883,13307.061099999999,17317.1643,7814.455199999999,15757.7149,10524.8901
1614 CORDOBA,8431.2971,10258.918300000001,17901.4378,23262.891499999998,29145.8819,19413.1783,12517.7588,15740.7079,26332.94,37626.2443,47453.3136,37058.6312,32372.8019,17353.975300000002,21330.2799,24239.355,23773.860800000002,24665.5675,24068.862500000003,40943.7153,29502.5232
1618 GRANADA,2988.4431,3668.9983,1933.6767,2107.8194,3905.2458,4632.8452,4605.6866,4346.5122,9422.4839,14305.2608,10251.3718,10169.624099999999,8600.9143,6635.4989000000005,3123.3885,9895.0479,18685.5396,22799.4737,15038.7121,13696.1994,14815.9537
1621 HUELVA,1306.7049,1102.4116,3843.9339,4531.5933,4176.4489,3992.7613,978.4871,2029.9864,5468.674,5762.8917,4883.653,770.1418,974.4729,2549.3161,1971.328,2580.3994,3900.2428,1620.3281,1008.2555,1569.2107,2498.9686
1623 JAEN,4435.8742,622.361,1030.3353,2062.545,2178.8073,2877.9491000000003,427.8789,1698.154,4256.7081,5347.2232,5855.5302,2485.1997,629.7341,1280.8887,906.0574,1201.7606999999998,3716.097,5518.4576,950.2150999999999,2538.2327999999998,2691.8775
1629 MALAGA,884.919,1051.6984,5604.0834,2125.5594,2518.5406000000003,2020.5019000000002,1871.6106,4382.0602,5069.4208,6589.9039,9733.848699999999,4776.4699,7805.817,6922.0926,4401.4051,5298.5684,9030.8709,5281.9926000000005,1107.9636,2694.789,3458.7911999999997
1641 SEVILLA,19644.719,16378.814699999999,79371.0374,92796.58240000001,80248.2356,61489.822100000005,46079.3041,42761.3303,50472.4072,55035.0662,69932.58810000001,51132.4305,48482.1323,27545.8921,37662.871,47725.349,46541.91559999999,57103.1688,41305.23,52547.9054,56533.846399999995
1735 PALMAS (Las),,,,,107.3634,,195.8126,215.7349,,,,,,14.922,,,,,3.0255,5.887700000000001,
"1738 Sta,C,TENERIFE",,47.8195,,27.3721,41.5188,37.3917,51.3862,32.4335,86.1215,55.9798,58.4238,135.4563,178.7679,64.4143,23.3131,60.8357,40.3078,30.0984,9.9402,69.3718,38.0356
