Cultivos y cubiertas de suelo,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
0825 LLEIDA,4.1134,,,20.6539,21.1045,53.2777,33.381,18.8095,3.7726,3.7726,,9.4355,13.2411,27.7128,27.7493,0.734,,10.9045,,,21.0285
0843 TARRAGONA,,12.6603,16.2503,1.3148,126.8821,26.8351,51.111,202.7156,281.7202,285.2244,276.1383,6.5771,175.0655,11.6148,,10.536800000000001,7.4023,123.8707,148.0809,46.121,141.14669999999998
0907 BALEARES,64.1507,39.835800000000006,243.89110000000002,768.3936000000001,509.1962,304.7543,195.6884,25.2209,53.8295,294.8886,224.0951,216.6964,142.539,22.0628,75.9473,26.650799999999997,14.6642,431.6509,38.0516,10.6759,1.3244
1005 AVILA,,3.3991,,,,4.5394,,0.7511,,,,0.7959,,,,,,,,,
1009 BURGOS,,16.3016,,,,,1.5172,,,,,,285.3991,,,,246.8748,,,,
1024 LEON,9.412,,3.0173,,,3.9895,21.3714,1.093,,1.625,,21.4362,,,,16.4554,,,,,
1034 PALENCIA,,,,,8.6569,,,,,,,,,,54.8156,,,,,,
1037 SALAMANCA,,,0.4889,0.5711,,,,,,,,,,,,,,,,,
1040 SEGOVIA,0.5191,29.9685,1.6526,4.5374,,,35.6967,38.2412,,,,,,,,,,0.08,,,
1047 VALLADOLID,,,,,3.4435,,,,17.5932,5.1892,,,,,,,16.9304,,,,
1049 ZAMORA,181.6368,86.1486,,0.5759,,,3.1609,,,,3.3867,1.0402,,,,17.6577,1.0645,93.5893,,,1.951
1128 MADRID,3.4287,5.4095,10.5533,2.1677,2.4042,5.6882,2.1807,41.2569,7.9347,11.5969,5.7692,,,10.9122,5.88,12.69,17.675600000000003,6.4943,,3.5265,59.8106
1202 ALBACETE,34.1969,,,,,,,,,,,44.381,,,233.0949,,,,,112.5965,38.7976
1213 CIUDAD REAL,,,,,,,,,,,,1.7892,,,,24.9533,,95.1165,198.1093,25.3934,0.1265
1216 CUENCA,,,,,,,,,,,,,,,,5.9958,,,,,
1219 GUADALAJARA,,,,,,,74.3368,0.7126,,,,,,,,,,,,,
1245 TOLEDO,3.628,,,,,,,,,,,,,,,23.1597,48.7844,,,,
1303 ALICANTE,11.374600000000001,15.4731,26.339999999999996,17.3841,158.028,98.9662,115.1998,35.6728,95.82069999999999,52.215500000000006,99.99430000000001,186.5164,156.2837,24.2061,106.03229999999999,84.4442,150.6088,63.1607,64.7792,,103.3481
1312 CASTELLON,13.9502,13.021,29.16,8.097,18.9453,42.0369,30.0186,81.5565,56.730999999999995,7.2356,17.9881,2.5529,4.2258,25.7757,75.83840000000001,11.7513,6.2275,5.9369,14.7887,27.6957,67.7618
1346 VALENCIA,67.5155,48.4038,35.31,18.0359,35.3526,55.8865,24.108,9.8628,25.8888,80.0803,68.3096,34.0691,28.6361,47.9078,3.1565,15.1569,58.3555,23.1264,6.796,45.6177,41.3002
"1430 R,DE MURCIA",48.3254,21.0572,35.7201,64.9461,104.1953,100.3329,90.10910000000001,123.57219999999998,24.4892,159.0155,558.3665000000001,452.8787,500.9288,47.7772,175.0124,82.7111,109.1985,118.2569,409.2912,122.8436,182.5261
1506 BADAJOZ,180.8348,255.4484,55.1571,104.6486,78.7952,19.7749,18.0392,239.219,50.9294,10.279,104.2551,308.6057,91.18440000000001,227.74869999999999,54.41199999999999,85.5534,320.0653,237.7972,86.844,23.0305,8.3236
1510 CACERES,4.2991,,,,0.4806,41.0544,,,,32.8565,,2.2962000000000002,0.9196,8.8891,4.2374,12.1247,4.788,1.243,,,0.1697
1604 ALMERIA,1079.1502,1755.5773000000002,1160.0453,976.8065,809.4919,630.9927,1358.5113999999999,503.8598,280.3406,180.8687,304.1376,227.72340000000003,742.5402,859.4965,1406.5979000000002,187.91219999999998,534.251,436.3161,351.6716,453.8973,352.8632
1611 CADIZ,3.3804,,20.5046,57.2813,53.1764,6.0784,25.8107,12.038499999999999,20.9317,56.0563,53.3167,47.0206,46.1601,53.373000000000005,13.3565,17.8218,42.056200000000004,7.9272,27.706000000000003,95.1712,20.7243
1614 CORDOBA,,,,,,27.5512,15.9802,,,6.6421,56.5567,18.5368,6.4943,127.4927,72.34280000000001,11.4848,6.8911,84.7961,34.7191,32.8181,31.0047
1618 GRANADA,24.0614,25.5428,21.6027,18.3827,37.1929,79.2285,133.1653,227.7705,164.9844,133.292,237.9647,208.8105,213.9875,168.638,258.5447,238.0528,480.6406,284.8365,241.9595,410.2156,576.8678
1621 HUELVA,,,10.6755,,14.4711,6.8828,,,,,,,,,,,,,1.1345,1.1344,
1623 JAEN,,,,,,11.5998,12.9029,19.9388,6.9548,40.795,21.6313,13.7161,11.8227,2.0071,,,57.7635,63.5854,29.5619,29.6942,37.4061
1629 MALAGA,195.6237,111.4723,140.2926,38.1918,40.3295,18.6812,47.6697,2.9558,32.6573,5.5993,6.6655999999999995,22.1105,53.6748,45.6506,4.022,42.7949,85.66029999999999,27.1006,55.6228,53.4015,146.6606
1641 SEVILLA,59.747099999999996,13.9367,9.6412,9.1249,5.147,160.643,75.1312,32.8218,8.7501,49.467,72.33930000000001,379.0783,424.88379999999995,140.0502,27.716099999999997,96.76150000000001,99.74690000000001,60.6635,19.186,76.18929999999999,105.5567
1735 PALMAS (Las),16.2845,125.2927,209.7038,257.7342,216.4217,308.0752,133.5233,96.7731,32.8193,124.9056,33.5102,165.4117,35.793,181.9382,118.1994,148.3372,122.7744,39.9312,176.7746,220.33089999999999,163.2112
"1738 Sta,C,TENERIFE",19.9784,66.849,20.5056,20.5039,33.7536,47.746900000000004,108.2962,61.3014,58.959399999999995,55.7843,106.1944,75.7589,61.798500000000004,119.74499999999999,90.8706,57.8146,41.2984,66.3865,89.7912,54.404700000000005,51.2018
06110 PEPINO,1053.5374000000002,2864.9566,1500.05,1971.4951000000003,1813.5969,1151.5828999999999,2452.6268,1619.9658,1772.8540000000003,1708.9878,1291.1444,1868.6284000000003,1233.6686,1530.8441999999998,2522.3982,2098.8615999999997,1760.5046000000002,2580.3225999999995,1671.2080000000003,1729.3434,1621.0448000000004
0115 CORUÑA (LA),,7.8869,0.2818,,,,,,,,,,0.0675,,,,,,0.0648,,
0127 LUGO,,2.8973,,,,,,,,,,,,,,,,,,,
0136 PONTEVEDRA,2.0372,2.0372,,,,,,,,,,,,,,,,,,,
"0233 P,DE ASTURIAS",,,,0.7668,,,,,,1.6202,,,,,,,,,,,
0420 GUIPUZCOA,,,,,,1.4787,,,,,,,,,,,,,,,
0531 NAVARRA,,,,,43.6219,67.2015,37.5011,38.716300000000004,12.3598,,,5.645,,,,16.2287,,,10.5912,80.7407,
0626 LA RIOJA,4.6089,12.4102,2.4924,3.2308000000000003,6.0726,5.2318,12.0648,10.3339,8.2282,18.8883,13.8064,29.0746,13.0714,9.395999999999999,0.442,0.4196,,2.3773,7.2286,,7.9311
0722 HUESCA,,,,,,,,,,2.7908,,,2.8652,0.1573,0.3723,,,0.3466,,,
0744 TERUEL,,,,,,4.0953,,,,,,2.2956,,,,,,,,,
0750 ZARAGOZA,,13.923,31.747100000000003,9.1585,9.8479,,34.180099999999996,10.9277,,,,,,,,,,,,,
0808 BARCELONA,25.4246,273.4699,316.2307,96.413,160.1068,149.3178,161.3223,174.6054,180.617,157.5292,117.185,93.3715,90.7268,87.5592,155.5065,78.8754,18.0119,33.6515,46.3936,139.1854,32.1455
0817 GIRONA,,,,,,,,,,,,,,,,,,,,53.3926,
0825 LLEIDA,,,2.431,,,,,16.7198,,,4.7178,,,,,,,15.2396,,,
0843 TARRAGONA,3.1952,,2.3481,1.5552000000000001,,,9.6394,,0.8051,24.9046,24.9488,,,1.3744,,,14.2458,,3.1779,2.9806,0.1999
0907 BALEARES,45.4213,5.9059,105.2924,21.8409,12.0277,2.5926,62.3506,27.9368,67.8291,144.1246,28.8683,47.9857,3.7823,2.5734,34.093199999999996,1.538,,,0.7012,,1.0505
1005 AVILA,,,,,,,,,,,,,,,,,,,2.6661,,
1024 LEON,,2.4001,2.4979,,,1.7862,2.1054,,3.068,20.0313,,,6.4436,,16.4563,,16.4555,13.9874,,1.2534,
1040 SEGOVIA,,,,,,,,,1.0336,,,,,,,,,,,,
1047 VALLADOLID,,,,,,,7.0426,,,,,,,,16.46,16.46,16.46,,,,
1049 ZAMORA,,,1.1172,,,32.5972,47.0321,49.383399999999995,19.8168,,,,,,,,,,,0.4113,0.4113
1128 MADRID,218.3997,241.3598,233.9552,132.1984,93.9092,112.6139,107.39160000000001,80.0872,152.1283,128.5119,153.5917,121.7643,127.8649,126.4278,137.7433,115.028,159.0505,168.1796,74.4887,91.5316,91.5316
1202 ALBACETE,,,,,,,,,,,,,,,4.5988,,,,185.1918,,
1213 CIUDAD REAL,2.7706,1.3861,0.831,2.5904,12.366499999999998,2.5904,1.2282,,,8.6533,4.1463,8.163,6.3192,5.1846,,,1.3436,3.7668,9.4953,8.8253,5.1845
1216 CUENCA,,,,,,,,,1.4449,,,,,,,2.4183,,,,,
1219 GUADALAJARA,,,,,,,0.7126,0.7126,,,,,,,,,,,,,
1245 TOLEDO,3.628,5.9852,,,,19.251,3.7353,10.1474,34.0718,77.5094,,,,,,,15.5576,,,8.5756,4.8043
1303 ALICANTE,39.7634,23.881600000000002,37.72,29.9541,27.6624,32.6792,18.4499,78.95779999999999,32.6474,53.7126,19.3663,11.0707,14.778500000000001,44.8648,40.0668,17.5419,25.8026,48.2654,8.8655,11.2477,4.501
1312 CASTELLON,20.0865,5.5822,1.9,,,,,,,,,2.1176,,,7.273,1.0053,5.5285,,2.6083,0.734,2.4597
1346 VALENCIA,17.8319,24.2094,57.660000000000004,,6.913,3.0085,32.1098,1.345,1.3379,4.0126,1.6241,3.0446,5.3163,5.398,4.351,1.3221,1.435,1.7683,1.5462,1.3396,1.0919
"1430 R,DE MURCIA",,54.3909,162.5636,146.6354,7.8605,4.8307,12.0428,,42.1723,156.3692,170.7836,10.4989,33.8787,11.609,113.0003,66.3822,26.5243,132.8796,98.4337,6.2462,2.813
1506 BADAJOZ,0.4945,,0.4803,1.6309,5.2407,,10.0275,10.0275,,340.2971,,8.2326,,,,,,,,,
1510 CACERES,,,,,,,,,,,,0.1473,0.1404,2.9468,,1.3776,1.3864,,,,
1604 ALMERIA,449.9981,2007.7697,422.1894,1384.8678,1364.5813,431.1541,1611.5774000000001,352.7069,107.1074,92.81,171.7489,497.1692,347.3006,448.1401,722.3124,200.8766,238.7383,311.4536,192.6588,200.8426,201.6487
1611 CADIZ,,,,1.0535,,6.2471,,,29.2507,17.5884,8.1045,1.4074,,17.2833,15.889000000000001,14.85,36.7577,29.9557,12.7462,14.1956,11.5279
1614 CORDOBA,6.6997,,,,,,,,,,,24.7528,,,2.0153,,,,,,
1618 GRANADA,,,,,9.8607,219.3873,257.4217,628.5424,1005.4827,392.626,453.2377,971.2969,557.4609,730.8288,1091.3567,1510.8397,1052.9851,1647.4566,923.3623,974.9855,1235.5934
1621 HUELVA,,,2.2896,13.649,2.5182,,,,,,,4.6484,4.6484,4.6484,4.6484,4.6485,4.6485,4.6485,,,
1623 JAEN,22.5187,14.0386,5.1934,,,,,,13.0639,,0.9474,,0.7573,,,,,,2.6214,,
1629 MALAGA,,72.4647,,27.9384,,,6.4914,56.8236,14.002199999999998,13.1835,113.7564,16.4043,,15.3252,122.9866,2.4992,84.5543,157.6524,74.0766,132.8557,11.4626
1641 SEVILLA,28.5108,16.3322,34.1977,,6.5092,13.4436,18.2002,29.9161,,0.211,,,,,,46.5505,18.2103,,,,
1735 PALMAS (Las),152.594,76.6257,76.6312,80.546,44.4983,42.076,,42.076,42.076,42.076,,,,,,,,,,,
"1738 Sta,C,TENERIFE",9.5543,,,17.466,,,,,4.3109,11.5378,4.3112,9.538,18.2466,17.1271,32.8263,,22.8087,8.6937,14.2898,,6.6879
06120 BERENJENA,1030.2920000000001,1284.1456,1191.3197,873.9790999999999,939.9307,784.5595999999999,1412.9744999999998,1026.7114000000001,1034.1517000000001,875.198,1092.0145999999997,891.6729999999999,835.9065999999999,891.4303,1818.0434,848.3885999999998,487.85509999999994,324.653,637.9513000000001,1154.2146,604.1038
0115 CORUÑA (LA),,,,0.0906,,,,,,,,,,,,,,,,,
"0233 P,DE ASTURIAS",,,,,,,0.4857,,,0.9714,,0.9796,0.8167,1.3239,,,,1.9279,1.9279,0.9099,
0448 VIZCAYA,,,0.122,,,,,,,,,,,,,,,,,,
0531 NAVARRA,59.06,,166.5824,27.1922,9.4543,,83.8821,112.2997,297.2757,417.7928,254.2708,261.7169,163.2715,25.4714,90.2824,85.4282,80.2222,35.0331,10.7882,189.8713,82.5893
0626 LA RIOJA,,,,,,,,,,,,,,,,,,,,1.2035,
0722 HUESCA,,,,,210.7887,,,,,,,,,,,,0.8793,,,,
0750 ZARAGOZA,,,,,,42.8176,0.1867,,,,37.1718,,48.8588,,,239.2702,4.9826,,,,
0808 BARCELONA,7.0571,2.3081,13.713,20.2815,12.881699999999999,14.7692,8.323599999999999,18.413800000000002,28.705000000000002,26.729300000000002,20.3641,11.1417,17.6052,2.6334,9.2549,1.8611,,4.4793,3.5867,,
0817 GIRONA,,18.6808,1.8391,5.1777,,2.6507,1.9741,,,1.6535,0.9952,3.1382,3.1382,3.1382,3.1376,3.1376,3.8707,8.2794,,,
0825 LLEIDA,,,13.4157,2.0367,1.3789,2.9052,2.6536,11.2182,12.361400000000001,3.7726,4.7178,,,2.3583,,,,,,0.2195,
0843 TARRAGONA,3.8234,2.7041,41.8221,10.8615,6.5429,1.9205,40.7353,8.5236,58.5315,24.2134,23.5287,4.7084,,,22.5283,18.701,14.3984,,18.9165,49.5427,
0907 BALEARES,34.9805,8.8086,56.460300000000004,9.7112,3.1102,,332.228,257.4227,250.4975,0.7713,87.1678,0.7941,19.456,38.3176,0.7012,21.8116,,7.9139,28.1774,,
1024 LEON,,,1.2926,,,,,,,12.327,,,,,,,,,,,
1128 MADRID,,,,,,,,,9.4011,,,,,,4.0543,,,,,,
1202 ALBACETE,,,,,,12.8956,,,,,,,,,,,,,,,
1213 CIUDAD REAL,,,3.1611,,,,47.1732,2.499,41.865,11.0281,39.8352,,104.8464,124.3888,168.4318,73.8889,,36.0212,72.5882,,1.4515
1245 TOLEDO,3.628,,,,,,,,,,,,,,,,,,,,
1303 ALICANTE,6.0096,3.2364,78.4,77.6609,37.3063,29.1583,25.8203,11.9439,40.8523,50.5299,90.274,88.11619999999999,61.3445,32.5557,5.6009,18.8589,22.3234,15.4499,,17.2067,
1312 CASTELLON,1.8602,3.7191,0.63,3.4772,3.5597,8.4246,5.5768,8.1591,3.6986,19.500999999999998,12.3296,,0.7923,8.2818,13.6536,5.9465,5.654,2.0599,55.9938,21.8459,22.4439
1346 VALENCIA,130.5858,135.2032,103.69,111.4225,153.5096,111.0467,83.3763,57.7205,6.6769,47.021699999999996,81.6231,33.0574,38.4454,52.2768,29.9324,20.179000000000002,13.1649,41.3464,9.1409,7.92,4.2877
"1430 R,DE MURCIA",0.7051,13.714,6.3656,10.3793,,,59.8399,18.7379,18.435399999999998,10.557,18.0637,25.4154,13.3325,47.1597,53.3651,9.3553,21.1998,25.549500000000002,20.9709,11.9687,47.0996
1506 BADAJOZ,239.4668,310.5867,91.5706,121.0,58.8541,73.5722,60.7672,121.9247,,,,,8.8651,,50.2377,103.4362,,,3.1462,55.7883,
1510 CACERES,,,,,,11.651,,,,,,0.5034,0.5271,3.3266,0.5429,0.9632,0.48849999999999993,,,,0.1697
1604 ALMERIA,362.97670000000005,648.9435,502.6305,353.1661,325.4126,295.8474,477.73359999999997,275.0321,181.3894,179.2637,303.6111,383.0807,220.8502,418.8564,1262.5234,124.6431,251.6393,98.4469,179.0431,546.6551,378.4895
1611 CADIZ,19.1887,6.725,17.0972,9.1912,21.3616,5.5553,14.933800000000002,5.6811,4.9893,6.6367,20.8945,16.8393,21.1249,1.615,1.4127,1.615,0.9414,,,3.404,
1614 CORDOBA,,,,,,,,,,,,,,2.9794,,,,7.3217,,,
1618 GRANADA,,,,13.0444,18.3341,31.6686,,,,,3.564,,,,,17.8453,,,171.8425,175.5505,11.5405
1621 HUELVA,,,,,,,,,,,,4.5344,4.5344,4.5344,4.5344,4.5344,5.589,5.2214,,,
1623 JAEN,54.0938,33.5498,13.0571,15.3134,31.3462,8.4374,4.3015,22.6284,26.4324,8.1421,16.3095,,20.9063,20.5682,2.6467,,7.5795,,6.5635,20.8001,
1629 MALAGA,105.669,91.2662,69.6399,66.0717,16.4521,95.7946,134.2838,32.7907,34.0309,41.7094,67.7978,43.8402,45.417699999999996,55.9385,49.208200000000005,64.5646,8.5446,1.7485,15.3448,,5.5238
1641 SEVILLA,,,7.5945,4.7904,,,4.7566,7.8164,3.0598,3.0598,4.2891,4.2891,4.2891,4.2891,4.289,7.9915,17.7166,4.2891,,11.4077,11.4077
1735 PALMAS (Las),1.1873,,,,19.8047,22.4317,,20.8002,2.0352,,,,,,13.3572,,,,,,
"1738 Sta,C,TENERIFE",,4.7001,2.236,13.1106,9.833,13.013,23.9424,33.0994,13.9143,9.5173,5.2068,9.518,37.4843,41.417100000000005,28.348699999999997,24.357,28.660899999999998,29.564899999999998,39.9207,39.9207,39.1006
06130 PIMIENTO,10925.3338,10875.926399999997,8111.472400000001,11057.939099999996,8272.089399999999,8606.8281,8230.4069,7343.7487,8238.6326,6930.225900000001,8970.523200000001,9187.159700000004,8730.063999999998,9267.345399999998,14357.7692,12353.617600000001,12286.432599999998,12125.211499999998,9860.919199999997,11003.9577,11687.022299999999
0115 CORUÑA (LA),15.8313,26.885800000000003,34.2756,85.6658,159.4584,166.458,161.2661,120.7791,133.40279999999998,144.7407,131.94330000000002,135.524,131.3095,137.61950000000002,133.467,132.3846,134.6664,134.7773,136.8316,129.09890000000001,184.1732
0127 LUGO,,8.148399999999999,13.9423,15.5783,48.754400000000004,38.2678,50.825,55.9744,43.7629,44.7864,45.0865,45.4596,43.3784,39.2998,38.5462,47.8126,48.9846,41.3396,41.1458,41.067099999999996,105.20330000000001
0132 ORENSE,,,7.4049,21.408,49.5488,53.6784,51.0907,47.836800000000004,40.2709,35.5475,37.4554,43.0479,41.42210000000001,36.57,39.805099999999996,37.3371,36.111999999999995,36.6883,36.1415,36.430800000000005,112.2084
0136 PONTEVEDRA,25.6878,11.2797,16.7977,54.819900000000004,92.3036,100.1114,111.0578,93.7132,87.98559999999999,91.9725,101.05109999999999,106.09609999999999,97.4222,108.2108,109.03550000000001,99.18070000000002,92.08640000000001,87.00280000000001,76.4146,78.681,126.2655
"0233 P,DE ASTURIAS",0.4406,0.35719999999999996,,0.9012,2.565,7.3922,11.0517,6.6803,6.6803,12.9946,3.1069,5.4371,7.8472,1.3239,3.014,18.0989,6.3477,18.6632,4.5994,8.154,25.7443
0339 CANTABRIA,28.5736,,,,,,,0.0983,0.0983,,1.8602,1.3944,2.5979,2.5979,,0.1283,,,,,
0420 GUIPUZCOA,16.4207,17.5205,51.5401,76.2014,67.0382,39.3075,53.9951,76.5813,82.1721,93.1587,103.63419999999999,105.8633,105.9859,105.01010000000001,93.9906,86.6508,72.29249999999999,60.6772,72.5629,72.176,17.8392
0448 VIZCAYA,9.2229,1.9751,1.87,7.1996,8.104,6.7472,2.2754,1.5761,0.133,0.133,0.5656,0.5853,0.5656,0.5289,0.5733,0.5916,0.5915,0.8101,0.5621,2.887,
0531 NAVARRA,1184.4587999999999,340.6904,746.5547,772.6127,346.00669999999997,580.8651,132.5392,331.4496,337.6949,557.9978,904.8187,1103.9565,1070.2054,849.6560999999999,1387.0634,1203.6026,2097.0271,993.3866,1387.8698,2322.8091,1153.1364999999998
0626 LA RIOJA,144.8827,124.3309,320.5975,342.3106,46.7979,111.6895,108.55510000000001,32.2603,65.5552,47.34780000000001,36.3593,175.8634,97.488,255.724,75.93509999999999,75.9414,29.0908,38.9249,108.0076,207.7698,133.10060000000001
0722 HUESCA,,,,1.8485,6.3564,,11.5188,,,,,,10.1823,2.0732999999999997,14.8608,9.1243,17.558,,,,
0744 TERUEL,,,,,,2.075,,,,,,,,,,,,,,,
0750 ZARAGOZA,533.2791,237.1085,301.6107,221.2693,269.4585,256.3527,141.4432,145.9692,110.6625,145.7965,333.2442,275.2654,99.0267,34.601,346.8296,426.3604,211.7957,343.1017,56.9408,81.9793,69.2753
0808 BARCELONA,16.937,306.61420000000004,,5.4509,29.6268,42.3727,48.778,39.5788,4.8972,4.8972,14.4729,17.1143,10.5673,22.715000000000003,31.6892,41.8989,11.5086,4.6785,,124.1232,
0817 GIRONA,30.395,,47.0509,11.8133,11.8133,20.6215,24.3078,17.9451,15.1202,11.2354,9.1135,7.9526,6.8469999999999995,5.743399999999999,11.411399999999999,5.7423,16.6467,9.9275,,,
0825 LLEIDA,,,5.3789,3.6521,2.2193,,5.8117,8.4099,16.1352,,4.7178,,,,,,,,3.521,0.6057,
0843 TARRAGONA,3.9409,8.9732,18.666,2.9854000000000003,5.186,24.534,59.9083,10.2381,24.5377,13.7338,106.272,22.684,115.1893,24.0952,0.4977,80.0234,46.9621,23.8199,112.2604,33.2385,11.6734
0907 BALEARES,142.25900000000001,98.387,47.434000000000005,126.5491,32.9859,56.3091,16.8161,103.5505,220.7237,146.91400000000002,36.2022,117.2015,20.1024,46.2843,97.4484,332.9498,105.9044,32.4459,143.21429999999998,67.78529999999999,50.4776
1005 AVILA,52.4826,54.747600000000006,48.6471,47.1171,2.0973,1.8021,1.5281,1.3486,2.1941,3.2286,2.6806,49.6384,48.5685,49.9171,66.2533,66.2532,68.91969999999999,57.3314,30.8211,32.1695,32.153
1009 BURGOS,,,,,,,,,,,,,,,,,,,3.9439,,
1024 LEON,86.5248,170.1629,141.4145,161.3592,112.8355,77.2685,216.40599999999998,48.5721,93.0293,97.1001,99.6405,88.1863,25.3405,104.3368,15.7391,32.8849,65.90119999999999,80.1218,12.3087,42.871300000000005,22.455
1034 PALENCIA,,,,,,,,,5.67,,,,,,,,7.5939,,,,
1037 SALAMANCA,1.1038,,3.6924,4.3126999999999995,5.437200000000001,5.437200000000001,1.8988,0.9494,0.9494,0.9494,1.8989,1.8989,1.8989,,,,,,,,
1040 SEGOVIA,0.2595,1.4494,2.1764,1.5532,,,,,,,,,,,,,,,,,
1047 VALLADOLID,,12.2814,1.9927,,,,,,,,,,,,,,,,,,
1049 ZAMORA,6.7367,24.8543,47.5017,59.0377,116.981,87.9555,12.5255,17.4264,37.7097,77.2531,54.823,55.449,11.2488,53.5415,61.0733,163.3907,91.52669999999999,60.1182,36.344,20.1108,0.8234
1128 MADRID,,,77.3433,,111.9207,214.865,135.3767,48.2294,19.3558,2.8497,21.392400000000002,3.8933,17.645699999999998,16.387999999999998,59.224000000000004,22.2647,22.0718,,33.6206,11.4609,11.4609
1202 ALBACETE,338.8843,623.6701,776.1039,661.1553,,26.8907,20.7755,,17.5007,94.7957,664.2268,,,71.9979,152.4995,312.9012,325.6856,401.8644,577.3093,380.9568,1090.2016
1213 CIUDAD REAL,600.2528,527.6424,937.7894,1549.798,621.038,1348.5727,340.8599,623.1402,1125.8623,668.7977999999999,909.1451,885.8706,738.2869000000001,496.2164,555.6544,409.8255,521.6164,1278.9985,1024.0956999999999,1118.6103999999998,2227.7304
1216 CUENCA,,,,151.0438,151.0438,6.3168,4.1814,4.1814,77.2209,2.781,24.6603,5.4731,2.6789,,,6.0823,,,,,
1219 GUADALAJARA,,0.4933,127.4446,,,,0.7126,0.7126,,,,,,,,,,,,,
1245 TOLEDO,3.628,18.1868,2.0299,,,,3.7353,13.3535,12.3911,,,,,,,154.5983,194.7385,,257.0104,,1.7186
1303 ALICANTE,74.2299,310.0431,76.58,360.3632,438.0981,167.1816,382.9776,410.191,444.431,406.5513,569.6827,570.7931,523.8034,804.7293999999999,866.3044,587.1034,741.7013999999999,679.6431,669.7472,707.0386000000001,630.8874000000001
1312 CASTELLON,38.1841,15.3411,1.43,33.3323,53.376,136.5257,35.4717,86.6312,29.2299,65.2038,20.5306,10.9268,23.9921,19.547,29.106,27.530700000000003,29.1567,48.5086,21.131,4.0657,23.8703
1346 VALENCIA,199.5214,202.3995,206.97,134.1711,227.28499999999997,256.1051,168.0979,250.0597,140.0744,86.90559999999999,166.62449999999998,260.9128,147.0885,192.1446,156.0464,74.0898,111.9389,94.541,117.2694,126.9385,132.2133
"1430 R,DE MURCIA",2802.2052999999996,2454.3878999999997,1636.0645,2048.3543,2125.3323,2452.9297,2452.102,2498.8895,2203.2816,1748.6462000000001,1896.6962999999998,1934.0469,1590.2722,1798.8259,1617.204,2198.6349,2065.7008,2646.688,2009.3933000000002,2203.3782,2575.881
1506 BADAJOZ,424.0146,41.8745,258.3838,275.5374,137.8052,6.4377,103.3558,194.2265,284.6332,200.2882,236.7442,60.9614,7.976,96.3147,394.5572,452.24600000000004,599.7323,817.0298,116.9272,43.0691,
1510 CACERES,604.3515,688.2703,,122.0746,175.97840000000002,77.63810000000001,125.55030000000001,85.6371,93.6837,270.0141,132.2068,205.4722,298.418,84.33,16.0218,25.4045,124.34609999999999,243.3671,42.1537,328.0592,1.4547
1604 ALMERIA,2319.5334,3523.8655,1465.7348,2594.5153,2086.161,1093.9253,2385.2706,1146.1654999999998,1707.3815,1054.0797,1637.3462,2098.098,2203.9673,2595.4177,6450.3757,2994.2967,2282.9538,1911.3293,1398.2167,1982.6351,1716.415
1611 CADIZ,56.0351,49.4604,61.5085,89.8845,119.776,97.1454,90.3729,111.9024,54.4059,51.41289999999999,80.1262,93.39359999999999,92.83330000000001,124.9084,111.55499999999999,102.66460000000001,77.6103,194.62779999999998,426.9823,284.3528,151.8731
1614 CORDOBA,63.7155,,12.7293,30.9367,46.8843,1.4746,,,30.4292,17.287,,62.0396,37.1061,29.9626,100.7775,15.8086,34.8124,204.9445,2.8328,,
1618 GRANADA,222.5062,262.4365,259.9452,113.3925,123.3561,301.747,243.13389999999998,267.7802,99.8459,230.2861,227.8186,260.99989999999997,379.54679999999996,495.1499,361.7724,318.5141,747.5878,733.6981000000001,480.11389999999994,323.1288,368.8769
1621 HUELVA,40.5899,123.3284,20.714199999999998,138.8909,57.0103,38.3645,21.9775,18.2361,,,,,145.5511,,,,1.0546,0.3425,9.1213,,
1623 JAEN,99.38380000000001,107.5168,70.4259,21.9531,13.7705,92.7821,36.73950000000001,81.9246,42.4679,77.3989,12.0635,95.74549999999999,42.168,4.562,16.0756,47.7806,62.716,1.4605,18.4933,37.2675,35.5963
1629 MALAGA,286.8831,188.9973,112.7159,262.4459,213.5856,202.3297,63.0517,128.0917,294.34369999999996,143.0743,209.97979999999998,141.7306,169.8486,213.5534,178.6497,235.9792,96.24430000000001,81.95819999999999,55.8147,21.3423,37.7764
1641 SEVILLA,152.4693,117.1706,101.5034,299.68710000000004,35.0372,227.4992,340.83410000000003,130.92950000000002,62.3361,120.53750000000001,73.88090000000001,71.8733,338.29440000000005,25.780099999999997,501.41179999999997,1200.1357,1064.5663000000002,646.5666,218.1387,119.1589,634.9372
1735 PALMAS (Las),147.2327,51.3872,47.5077,75.8535,40.4196,175.2541,32.2787,35.7703,116.6856,117.3796,15.376,20.0537,21.087899999999998,317.66880000000003,262.7492,307.4003,8.9602,115.416,101.3213,7.3684,
"1738 Sta,C,TENERIFE",152.2761,123.6882,,70.9036,78.6371,3.5977,19.9529,46.7588,53.6872,42.1494,43.0755,46.2573,2.3049,,0.5516,,11.7224,0.4126,17.7369,3.1692,1.6005
